Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW21,ROW36)",3.07700,0.08952,3.05411,0.07761,2.49339,1.05692,-0.27311,-0.35753,-0.89110,-1.75075,-1.29551,-1.33944,-1.46668,-1.09531,-6.71084
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW26)",4.01415,0.08304,2.78928,0.06884,3.61245,0.25966,-0.23443,-0.81661,-0.33464,-1.50756,-1.50834,-1.18220,-1.76078,-0.84491,-4.56355
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW30)",2.02268,0.07954,2.74643,0.11167,1.94308,1.03274,-0.38706,-0.89221,-1.18908,-1.65926,-1.15636,-1.74247,-0.67209,-0.94376,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW24,ROW36)",3.37613,0.08998,3.06454,0.08434,3.27075,0.27217,-0.03491,-0.79671,-0.90239,-1.95229,-1.06845,-1.70157,-1.29516,-0.75168,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW30)",1.51827,0.07527,2.59513,0.10824,1.82533,0.91060,-0.25935,-1.03784,-0.75115,-1.41636,-1.40386,-1.79579,-1.08426,-0.61498,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW26,ROW36)",2.59468,0.08539,2.90349,0.08113,3.22367,0.30123,-0.15972,-0.70564,-1.10458,-1.55978,-1.21288,-1.63903,-1.98540,-0.14281,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW9,ROW30,ROW36)",1.13725,0.08042,2.78495,0.11978,2.07801,0.67862,-0.57418,-0.89128,-1.21578,-1.59906,-1.43440,-1.33336,-1.36685,-0.04818,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW26)",3.83977,0.08537,2.87994,0.06384,2.75007,0.95887,0.18045,-0.86484,-0.02892,-1.38302,-1.25193,-1.66499,-1.47428,-1.46062,-6.42853
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW30)",1.84920,0.08290,2.86490,0.11258,1.77016,0.75090,0.15324,-0.50838,-1.05212,-1.17598,-1.89109,-1.47594,-1.29337,-0.91755,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW24,ROW36)",3.01682,0.09296,3.17790,0.08389,2.35033,1.38636,-0.23274,-0.67544,-0.96418,-1.00811,-1.88532,-1.38953,-1.34991,-1.23048,-6.71084
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW30)",1.80538,0.07765,2.67721,0.10767,1.90094,0.52913,0.03063,-0.56980,-0.93516,-1.56568,-1.42090,-1.44322,-1.38619,-0.71723,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW26,ROW36)",2.86462,0.08782,2.99416,0.07832,2.90687,0.50660,0.41259,-0.93016,-0.98511,-1.57223,-1.50913,-1.38988,-1.80898,-0.55542,-6.71084
